evidence_id,name_ja,candidate_id,production_recipe_ids,wave,representability,decision_status,implementation_type,identity_set_status,identity_ingredient_count,existing_ingredient_count,new_ingredient_count,new_ingredient_ids,overlap_ratio,nearest_production_recipe_id,nearest_jaccard,collision_risk,collision_risk_reasons,required_capabilities,candidate_capabilities,runtime_contract_dependencies,sauce_base_status,sauce_base_ingredient_id,evidence_complete,blocker_types,review_item_types,dedicated_asset_required,pitz_price,unlock_fee,star_gate,non_star_condition,completion_gate
bbq-chicken-pizzadb,BBQチキンピザ,bbq-chicken,,W4,PARTIAL,READY,NEW_MECHANIC_AND_RUNTIME_CONTRACT_REQUIRED,COMPUTED_FROM_COMPLETE_IDENTITY_SETS,5,2,3,bbq-sauce|chicken|cilantro,0.4,tonno-e-cipolla,0.2857,LOW,,LATE_ADDITION,,UNSUPPORTED_SAUCE_ID_CONTRACT,listed,bbq-sauce,True,,,False,TBD,TBD,TBD,OWNER_DECISION_REQUIRED,OWNER_DECISION_REQUIRED
apple-cinnamon-dessert-pizzadb,アップルシナモンデザートピザ,apple-cinnamon-dessert,,W3,FULL,BLOCKED_PRODUCT_DECISION,EVIDENCE_OR_CONTENT_REVIEW_REQUIRED,NOT_COMPUTABLE_INCOMPLETE_IDENTITY_SET,,0,4,apple|cinnamon|cream-cheese|walnut,,,,UNKNOWN,INCOMPLETE_IDENTITY_SET,,,,unspecified,,False,BASE_SAUCE_UNSPECIFIED,,False,TBD,TBD,TBD,OWNER_DECISION_REQUIRED,OWNER_DECISION_REQUIRED
calabresa-argentina-pizzadb,アルゼンチン風カラブレーサ,calabresa-argentina,,W3,FULL,READY_WITH_REVIEW,EVIDENCE_OR_CONTENT_REVIEW_REQUIRED,COMPUTED_FROM_COMPLETE_IDENTITY_SETS,5,4,1,salami,0.8,capricciosa,0.5714,MEDIUM,CONTENT_REVIEW_OR_HIGH_SIMILARITY,,,,listed,tomato-sauce,True,,NAMING_CLUSTER,False,TBD,TBD,TBD,OWNER_DECISION_REQUIRED,OWNER_DECISION_REQUIRED
vongole-pizzadb,ヴォンゴレピザ,vongole,,W4,FULL,READY,RUNTIME_CONTRACT_CHANGE_REQUIRED,COMPUTED_FROM_COMPLETE_IDENTITY_SETS,4,2,2,clam|parsley,0.5,pizza-bianca,0.2,LOW,,,,SAUCELESS_RECIPE_CONTRACT,none,,True,,,False,TBD,TBD,TBD,OWNER_DECISION_REQUIRED,OWNER_DECISION_REQUIRED
aussie-pizzadb,オージーピザ,aussie,,W4,FULL,READY,RUNTIME_CONTRACT_CHANGE_REQUIRED,COMPUTED_FROM_COMPLETE_IDENTITY_SETS,4,4,0,,1.0,breakfast-pizza,0.6,LOW,,,,SAUCELESS_RECIPE_CONTRACT,none,,True,,,False,TBD,TBD,TBD,OWNER_DECISION_REQUIRED,OWNER_DECISION_REQUIRED
capricciosa-pizzadb,カプリチョーザ（PIZZA DB版）,capricciosa-pizzadb,capricciosa,W0_CORRESPONDENCE,FULL,BLOCKED_PRODUCT_DECISION,EVIDENCE_OR_CONTENT_REVIEW_REQUIRED,COMPUTED_FROM_COMPLETE_IDENTITY_SETS,7,6,1,artichoke,0.8571,capricciosa,0.625,MEDIUM,CONTENT_REVIEW_OR_HIGH_SIMILARITY,,ZONED_PLACEMENT,,listed,tomato-sauce,True,COMPOSITION_CONFLICT_SHIPPED,CANDIDATE_CAPABILITY,False,TBD,TBD,TBD,OWNER_DECISION_REQUIRED,OWNER_DECISION_REQUIRED
currywurst-pizzadb,カリーヴルストピザ,currywurst,,W4,FULL,READY,RUNTIME_CONTRACT_CHANGE_REQUIRED,COMPUTED_FROM_COMPLETE_IDENTITY_SETS,4,1,3,curry-ketchup|paprika-powder|wurstel,0.25,salsiccia,0.1667,LOW,,,,UNSUPPORTED_SAUCE_ID_CONTRACT,listed,curry-ketchup,True,,,False,TBD,TBD,TBD,OWNER_DECISION_REQUIRED,OWNER_DECISION_REQUIRED
calzone-pizzadb,カルツォーネ（PIZZA DB版）,calzone-pizzadb,,W5,NOT_REPRESENTABLE,BLOCKED_PRODUCT_DECISION,NEW_MECHANIC_REQUIRED,COMPUTED_FROM_COMPLETE_IDENTITY_SETS,4,2,2,ricotta|salami,0.5,salsiccia,0.4,LOW,,ENCLOSE,,,listed,tomato-sauce,True,COMPOSITION_CONFLICT_CANDIDATE,,False,TBD,TBD,TBD,OWNER_DECISION_REQUIRED,OWNER_DECISION_REQUIRED
quattro-stagioni-pizzadb,クアトロスタジオーニ（PIZZA DB版）,quattro-stagioni,,W4,PARTIAL,READY,NEW_MECHANIC_REQUIRED,COMPUTED_FROM_COMPLETE_IDENTITY_SETS,6,5,1,artichoke,0.8333,capricciosa,0.7143,LOW,,ZONED_PLACEMENT,,,listed,tomato-sauce,True,,,False,TBD,TBD,TBD,OWNER_DECISION_REQUIRED,OWNER_DECISION_REQUIRED
quattro-formaggi-pizzadb,クアトロフォルマッジ（PIZZA DB版）,quattro-formaggi-pizzadb,quattro-formaggi,W0_CORRESPONDENCE,FULL,BLOCKED_PRODUCT_DECISION,EVIDENCE_OR_CONTENT_REVIEW_REQUIRED,COMPUTED_FROM_COMPLETE_IDENTITY_SETS,4,4,0,,1.0,quattro-formaggi,0.8,MEDIUM,CONTENT_REVIEW_OR_HIGH_SIMILARITY,,,,none,,True,COMPOSITION_CONFLICT_SHIPPED,,False,TBD,TBD,TBD,OWNER_DECISION_REQUIRED,OWNER_DECISION_REQUIRED
